Location,Area code,Largest cities covered
Alaska,907,"Anchorage, Juneau, Ketchikan"
Alabama,205/659*,"Birmingham, Hoover, Tuscaloosa"
,256/938*,"Decatur, Huntsville"
,334,"Dothan, Montgomery"
,251,Mobile
American Samoa,684,"Pago Pago, Tafuna"
Anguilla,264,"Dog Island, Scrub Island, The Valley"
Antigua & Barbuda,268,"Freetown, Saint John's"
Arkansas,501,"Little Rock, North Little Rock"
,479,"Fort Smith, Fayetteville"
,870,"Jonesboro, Pine Bluff"
Arizona,928,"Flagstaff, Yuma"
,480,"Chandler, Mesa, Phoenix, Scottsdale, Tempe"
,602,Phoenix
,520,"Casa Adobes, Catalina Foothills, Tucson"
,623,"Glendale, Peoria, Phoenix"
Bahamas,242,"Freeport, Nassau"
Barbados,246,"Bridgetown, The Crane"
Bermuda,441,"Devonshire, St. George's, Warwick"
British Virgin Islands,284,"Road Town, Virgin Gorda"
California,209,"Lodi, Merced, Modesto, Stockton, Tracy, Turlock"
,310/424*,"Carson, Compton, Gardena, Hawthorne, Inglewood, Lynwood, Redondo Beach, Santa Monica, Torrance"
,323/213*,Los Angeles
,408/669*,"Cupertino, Milpitas, San Jose, Santa Clara, Sunnyvale"
,415/628*,"San Francisco, San Rafael"
,510/341*,"Alameda, Berkeley, Castro Valley, Fremont, Hayward, Oakland, Richmond, San Leandro, Union City"
,530,"Chico, Davis, Redding"
,559,"Clovis, Fresno, Visalia"
,562,"Bellflower, Cerritos, Downey, La Habra, Lakewood, Long Beach, Norwalk, Paramount, Pico Rivera, Whittier"
,619,"Chula Vista, El Cajon, La Mesa, National City, San Diego, Santee"
,626,"Alhambra, Arcadia, Baldwin Park, El Monte, Hacienda Heights, Monterey Park, Pasadena, Rosemead, West Covina"
,650,"Daly City, Mountain View, Palo Alto, Redwood City, San Mateo, South San Francisco"
,661,"Bakersfield, Lancaster, Palmdale, Santa Clarita"
,707,"Fairfield, Napa, Petaluma, Santa Rosa, Vacaville, Vallejo"
,714/657*,"Anaheim, Buena Park, Fountain Valley, Fullerton, Garden Grove, Huntington Beach, Orange, Santa Ana, Tustin, Westminster, Yorba Linda"
,760/442*,"Apple Valley, Carlsbad, Encinitas, Escondido, Hesperia, Oceanside, San Marcos, Victorville, Vista"
,805/820*,"Camarillo, Goleta, Oxnard, San Buenaventura, Santa Barbara, Santa Maria, Simi Valley, Thousand Oaks"
,818/747*,"Burbank, Glendale"
,831,"Salinas, Santa Cruz"
,858,San Diego
,909,"Chino, Chino Hills, Diamond Bar, Fontana, Ontario, Pomona, Rancho Cucamonga, Redlands, Rialto, San Bernardino, Upland"
,916/279*,"Arden-Arcade, Citrus Heights, Elk Grove, Folsom, Rancho Cordova, Roseville, Sacramento"
,925,"Antioch, Concord, Livermore, Pittsburg, Pleasanton, Walnut Creek"
,949,"Costa Mesa, Irvine, Laguna Niguel, Lake Forest, Mission Viejo, Newport Beach"
,951,"Corona, Hemet, Moreno Valley, Riverside, Temecula"
Canada (Alberta),403/587/825*,"Calgary, Lethbridge, Medicine Hat, Red Deer"
,780/587/825*,"Edmonton, St. Albert"
Canada (British Columbia),250/778/236/672*,"Kamloops, Kelowna, Nanaimo, Prince George, Victoria"
,604/778/236/672*,"Abbotsford, Burnaby, Chilliwack, Coquitlam, New Westminster, Port Coquitlam, Richmond, Surrey, Vancouver"
Canada (Manitoba),204/431*,Winnipeg
Canada (New Brunswick),506,"Fredericton, Moncton, Saint John"
Canada (Newfoundland),709,St. John's
"Canada (Northwest Territories, Nunavut, Yukon)",867,"Dawson City, Whitehorse"
Canada (Nova Scotia/Prince Edward Island),902/782*,"Charlottetown, Halifax"
Canada (Ontario),416/647/437*,Toronto
,519/226/548*,"Brantford, Cambridge, Chatham, Guelph, Kitchener, London, Sarnia, Windsor"
,613/343*,"Kingston, Ottawa"
