age,alone,embarked,fare,pclass,sex,sibsp,survived,embark_town,deck
26.425,False,S,14.069,3,female,1,0,Southampton,E
2.461,False,S,39.146,3,male,4,0,Southampton,G
20.221,True,C,8.196,3,male,0,0,Cherbourg,G
22.856,False,S,15.905,3,female,2,1,Southampton,F
31.171,True,C,31.93,1,male,0,0,Cherbourg,B
21.602,True,S,7.452,3,male,8,0,Southampton,F
22.238,True,S,10.37,3,male,0,1,Southampton,F
56.939,True,C,217.898,1,male,1,0,Cherbourg,E
51.169,True,S,7.017,3,male,0,0,Southampton,F
28.314,True,S,7.025,3,male,0,0,Southampton,G
36.47,True,C,6.601,3,male,1,0,Cherbourg,E
15.272,True,S,9.011,3,male,0,0,Southampton,F
16.27,True,C,103.626,1,male,0,1,Cherbourg,D
41.998,False,S,25.69,2,male,0,0,Southampton,D
16.23,True,S,6.042,3,male,0,0,Southampton,G
11.184,True,S,39.249,3,male,1,0,Southampton,F
26.728,True,S,9.382,3,male,1,1,Southampton,E
36.042,True,C,219.847,1,female,1,1,Cherbourg,C
43.887,False,Q,22.224,3,male,0,0,Queenstown,G
48.767,True,,238.68,1,female,0,1,,D
36.768,True,,0.379,3,male,0,0,,F
61.767,True,S,26.275,1,male,0,0,Southampton,C
28.386,True,C,77.558,1,male,0,1,Cherbourg,D
33.914,False,S,10.73,2,male,0,0,Southampton,F
20.957,False,S,7.315,3,male,1,0,Southampton,F
27.772,False,S,26.345,1,male,0,0,Southampton,C
61.685,True,,10.5,2,male,0,1,,E
57.855,True,,10.5,2,female,0,0,,D
56.805,True,C,77.016,1,male,0,1,Cherbourg,D
45.942,True,,26.556,1,female,0,1,,B
18.271,False,,33.654,1,male,0,0,,C
21.155,False,Q,7.466,3,male,0,0,Queenstown,G
1.088,False,S,8.459,3,male,0,0,Southampton,G
2.346,False,C,9.436,3,male,5,0,Cherbourg,E
21.96,True,C,7.395,3,male,0,0,Cherbourg,F
21.526,True,S,7.342,3,male,1,0,Southampton,G
16.963,False,S,9.277,3,male,0,0,Southampton,E
59.191,True,,26.566,1,female,0,1,,C
22.893,True,S,62.516,2,female,1,1,Southampton,E
26.966,True,S,7.06,3,male,0,0,Southampton,G
41.31,False,S,44.966,3,female,0,0,Southampton,G
27.606,True,S,7.026,3,male,0,0,Southampton,F
36.344,True,S,73.188,1,female,0,1,Southampton,C
30.076,True,S,6.551,3,male,0,0,Southampton,F
51.545,False,S,26.93,1,male,0,0,Southampton,B
26.003,True,Q,7.013,3,male,0,1,Queenstown,G
5.961,False,S,28.457,3,female,2,0,Southampton,F
28.342,False,S,65.561,1,male,0,1,Southampton,D
26.797,False,S,12.154,2,male,0,0,Southampton,F
2.956,False,C,19.113,3,female,1,0,Cherbourg,E
19.295,True,Q,6.921,3,female,0,1,Queenstown,G
41.823,False,Q,6.468,3,male,0,0,Queenstown,F
26.449,False,S,148.048,1,female,1,0,Southampton,A
21.395,True,Q,7.332,3,male,0,0,Queenstown,E
18.293,True,C,15.907,3,male,0,1,Cherbourg,G
39.19,False,C,108.934,1,female,1,1,Cherbourg,B
25.512,True,C,14.186,2,female,1,1,Cherbourg,D
34.027,True,C,6.455,3,male,0,0,Cherbourg,E
41.434,False,S,15.923,3,male,0,0,Southampton,F
57.147,True,S,12.374,2,male,0,0,Southampton,F
26.37,True,S,7.296,3,male,1,0,Southampton,E
23.361,False,C,61.055,1,female,0,1,Cherbourg,A
8.063,False,Q,28.874,3,male,5,0,Queenstown,G
21.765,False,S,13.067,2,female,0,0,Southampton,D
30.882,False,C,13.736,2,male,0,0,Cherbourg,F
18.637,True,S,10.092,3,female,0,1,Southampton,G
46.828,True,S,25.352,2,male,1,0,Southampton,F
58.348,False,C,146.492,1,female,0,1,Cherbourg,A
25.189,True,S,10.767,3,female,0,1,Southampton,F
56.186,False,C,27.009,1,male,1,1,Cherbourg,B
26.308,True,S,7.074,3,male,0,0,Southampton,F
22.08,False,S,148.283,1,female,0,1,Southampton,C
2.204,False,C,13.011,3,female,2,1,Cherbourg,F
31.426,False,Q,12.186,2,female,0,1,Queenstown,F
3.846,False,,15.656,2,male,0,1,,F
31.139,False,S,23.9,3,male,0,0,Southampton,E
2.159,False,S,30.77,3,female,1,0,Southampton,G
22.971,False,C,60.481,1,female,0,1,Cherbourg,D
17.054,False,,0.546,2,male,1,0,,F
38.007,False,S,9.304,3,male,0,0,Southampton,F
18.896,False,S,17.917,3,female,0,1,Southampton,E
29.572,True,S,7.485,3,male,1,0,Southampton,G
30.74,False,C,15.161,3,female,0,1,Cherbourg,G
29.791,True,C,76.13,1,female,0,1,Cherbourg,B
31.046,True,S,6.518,3,male,0,0,Southampton,E
22.098,True,C,103.405,1,female,0,1,Cherbourg,A
31.831,True,S,13.986,3,male,0,0,Southampton,G
21.735,True,S,7.87,3,male,0,0,Southampton,E
50.96,True,S,25.425,2,male,1,0,Southampton,F
41.133,True,S,9.505,3,male,0,1,Southampton,G
23.747,True,S,7.404,3,male,2,0,Southampton,G
24.68,False,S,25.895,2,female,0,1,Southampton,D
16.428,False,C,11.272,3,female,1,0,Cherbourg,E
49.021,False,S,72.653,1,female,1,0,Southampton,C
33.982,True,S,6.525,3,male,1,0,Southampton,G
14.333,False,C,12.439,2,female,0,1,Cherbourg,F
33.652,False,S,66.562,3,female,1,0,Southampton,E
32.043,True,S,6.495,3,male,0,0,Southampton,G
29.225,False,Q,15.79,3,female,0,0,Queenstown,G
22.687,True,S,155.911,1,female,1,1,Southampton,D
31.422,True,S,6.55,3,male,1,0,Southampton,G
21.596,False,S,7.397,3,male,0,0,Southampton,F
37.056,True,Q,14.491,3,male,1,0,Queenstown,E
50.042,True,C,73.739,1,female,1,1,Cherbourg,B
16.515,False,S,255.201,1,male,0,1,Southampton,B
28.534,True,S,21.972,3,male,0,0,Southampton,E
30.447,False,S,8.257,3,female,1,1,Southampton,F
4.486,False,,23.249,2,female,4,1,,D
52.345,True,S,7.913,3,male,0,0,Southampton,G
55.661,False,C,26.71,1,male,0,1,Cherbourg,B
46.187,False,S,26.282,2,female,8,1,Southampton,F
41.373,True,S,6.524,3,male,0,1,Southampton,G
16.47,False,S,5.987,3,male,0,0,Southampton,F
29.396,True,Q,23.367,3,female,0,0,Queenstown,G
53.111,True,S,53.061,1,male,1,0,Southampton,B
10.259,True,C,11.227,3,male,0,0,Cherbourg,G
24.805,False,S,7.782,3,female,1,0,Southampton,F
15.954,False,S,5.98,3,male,0,0,Southampton,F
40.034,True,,1.333,2,male,0,0,,F
36.633,False,C,6.588,3,male,0,0,Cherbourg,E
61.435,False,,78.059,1,female,1,1,,D
18.903,True,S,17.828,3,female,1,1,Southampton,E
40.453,True,S,6.555,3,male,0,0,Southampton,F
36.136,False,S,26.903,2,male,0,0,Southampton,E
26.198,True,S,7.076,3,male,1,0,Southampton,F
62.892,True,S,26.387,1,male,0,0,Southampton,E
28.06,True,S,88.913,1,female,0,1,Southampton,C
57.317,False,S,12.387,2,male,0,0,Southampton,F
42.259,False,S,209.29,1,female,0,1,Southampton,C
26.341,True,S,10.478,2,male,1,0,Southampton,F
36.118,True,S,30.447,1,male,0,1,Southampton,C
31.436,True,S,10.604,2,male,0,0,Southampton,E
21.092,True,S,7.426,3,male,1,0,Southampton,F
41.253,True,S,6.478,3,male,1,0,Southampton,G
37.434,False,S,31.334,3,female,1,0,Southampton,G
42.112,True,S,44.969,3,female,0,0,Southampton,F
48.152,False,S,55.842,1,male,1,0,Southampton,C
41.183,True,S,6.918,3,male,0,0,Southampton,G
31.318,True,S,10.655,2,male,0,0,Southampton,E
21.201,True,C,72.666,1,male,1,1,Cherbourg,C
1.704,False,S,20.185,3,male,0,0,Southampton,F
3.71,False,S,21.061,3,female,1,1,Southampton,E
52.413,True,S,27.778,1,male,0,0,Southampton,D
33.564,True,S,21.219,2,female,0,1,Southampton,D
50.193,False,,239.041,1,female,0,1,,E
51.496,False,S,78.73,1,male,0,0,Southampton,D
16.535,True,S,6.128,3,male,0,1,Southampton,E
49.549,False,,11.255,2,female,1,1,,F
61.633,True,,9.592,3,female,0,1,,G
50.996,False,C,62.739,1,male,0,1,Cherbourg,C
1.034,False,C,8.766,3,male,1,1,Cherbourg,F
43.85,True,S,13.467,2,male,0,0,Southampton,F
37.567,False,,13.031,2,female,1,0,,F
20.968,False,C,41.11,2,male,0,0,Cherbourg,F
16.618,True,,37.188,2,male,0,0,,E
21.648,True,S,7.471,3,male,0,0,Southampton,F
50.689,True,S,25.333,2,male,0,0,Southampton,F
27.849,True,C,13.317,3,male,2,0,Cherbourg,F
26.026,False,S,53.112,1,female,0,0,Southampton,C
11.049,False,,7.257,3,female,0,0,,G
36.271,False,S,79.366,1,male,1,1,Southampton,A
61.599,False,C,61.679,1,male,0,0,Cherbourg,C
16.895,False,S,117.083,1,female,0,1,Southampton,C
13.899,True,,43.51,1,female,0,1,,C
47.169,False,S,28.462,1,male,1,0,Southampton,C
54.647,False,C,7.231,3,female,2,1,Cherbourg,F
35.481,False,S,77.213,1,female,1,1,Southampton,B
45.305,False,S,27.362,3,female,8,0,Southampton,G
31.56,True,S,6.48,3,male,0,0,Southampton,F
16.076,True,C,3.218,3,male,1,0,Cherbourg,F
1.464,False,C,19.294,3,female,0,1,Cherbourg,F
37.489,True,Q,7.244,3,female,1,0,Queenstown,E
45.979,True,S,21.118,1,male,0,0,Southampton,C
51.292,True,S,29.08,1,male,0,0,Southampton,A
