call_id,customer_id,call_date,contact,complaint,agent,duration,escalated,referred,stat_0,stat_1,stat_2,stat_3,stat_4,stat_5,stat_6,stat_7,stat_8,stat_9,stat_10,stat_11,stat_12,stat_13,stat_14,stat_15,stat_16,stat_17,stat_18,stat_19,stat_20,stat_21,stat_22,stat_23,stat_24,stat_25,stat_26,stat_27,stat_28,stat_29,stat_30,stat_31,stat_32,stat_33,stat_34,stat_35,stat_36,stat_37,stat_38,stat_39
8650752,CU_7840218,10-01-2018 06:01:13,Phone Call,Payment Failure/Incorrect Payment,Zara ,00:00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8355840,CU_5120322,10-01-2018 06:09:53,Fax,I have been mis-sold this product,Bronwyn ,00:00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8781826,CU_8640533,10-01-2018 06:18:03,MyPortal,Unhappy with delay,Holly,00:00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9666571,CU_5899523,10-01-2018 06:36:32,Letter,My details are not accurate,Gladys,00:00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8880140,CU_8307992,10-01-2018 06:53:35,Phone Call,You provided me with incorrect information,Zara ,00:00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5799957,CU_2638292,10-01-2018 07:05:07,Phone Call,I have been mis-sold this product,Minerva,00:00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5013526,CU_9028121,10-01-2018 07:07:18,Phone Call,You are not easy to deal with,Valerie,00:00,0,0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4784151,CU_9264627,10-01-2018 07:08:50,Phone Call,You did not keep me updated,Elisabeth ,00:00,0,0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
3440664,CU_3159152,10-01-2018 07:18:11,E-mail,You are not easy to deal with,Melody ,00:00,0,0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
4227100,CU_2619463,10-01-2018 07:18:18,Phone Call,I have been mis-sold this product,Macey ,00:00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5406749,CU_8218972,10-01-2018 07:32:12,Account manager,You are not easy to deal with,Mina ,00:00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2883619,CU_1465655,10-01-2018 07:33:50,Phone Call,Unsuitable advice,Mina ,00:00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
1146925,CU_5625524,10-01-2018 07:39:02,E-mail,Payment Failure/Incorrect Payment,Gladys,00:00,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
2654257,CU_5426281,10-01-2018 07:46:38,Phone Call,Unhappy with delay,Corrine,00:00,0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
4685883,CU_3340732,10-01-2018 07:50:20,Phone Call,You are not easy to deal with,Carol,00:00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4161597,CU_3340732,10-01-2018 07:51:50,Internet,You did not keep me updated,Melody ,00:00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9371714,CU_8409644,10-01-2018 07:54:38,MyPortal,Standard letter inappropriate,Zara ,00:00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
9732170,CU_2370918,10-01-2018 07:57:32,Phone Call,You did not explain the terms & conditions,Nikki,00:00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
5177440,CU_4300415,10-01-2018 08:03:24,MyPortal,Payment Failure/Incorrect Payment,Krystal,00:00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
4227171,CU_9031119,10-01-2018 08:06:09,Internet,I cannot understand your letter/comms,Naomi ,00:01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1376356,CU_2300999,10-01-2018 08:07:36,Internet,I have been mis-sold this product,Minerva,00:01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5832806,CU_8307992,10-01-2018 08:10:39,Internet,You took too long,Nikki,00:01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5996647,CU_2313118,10-01-2018 08:11:18,Questionnaire,Payment not generated/received by customer,Alishba ,00:01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1441897,CU_5324122,10-01-2018 08:12:12,Letter & Phone Call,Payment Failure/Incorrect Payment,Melody ,00:01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2130032,CU_4162567,10-01-2018 08:15:51,Phone Call,Unsuitable advice,Leona ,00:01,0,0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2523248,CU_5207207,10-01-2018 08:17:43,Phone Call,You are not easy to deal with,Debora,00:01,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4849778,CU_5601884,10-01-2018 08:19:46,Phone Call,You did not explain the terms & conditions,Minerva,00:01,0,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
7438453,CU_8203112,10-01-2018 08:20:38,E-mail,Unhappy with delay,Nikki,00:01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3866744,CU_1253250,10-01-2018 08:21:55,Phone Call,Incorrect information given,Gladys,00:01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3702912,CU_5817296,10-01-2018 08:28:02,Phone Call,Unhappy with delay,Ofelia,00:01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
