attribute,description
age,Customer age
balance,The current customer balance
forename,customer forename
gender,"M = Male, F = Female"
id,a unique identifier for the customer
,a column of null values
online,if the customer has an online account
profession,the prossession of the customer
single cat,a single category
single num,a single number value
start,the customer start date
surname,customer surname
weight_cat,a heavily dominant category
weigh_num,a heavily dominant number
last_login,The last time the customer logged into the online system
status,The current status of the customer
